friday,sunday,entry_spot,settle,spot_ret,C_name,C_strike,C_delta,C_iv,C_premium,C_payoff,C_src,P_name,P_strike,P_delta,P_iv,P_premium,P_payoff,P_src,pnl,premium_sum,fees,pnl_usd,pnl_pct
2022-09-02,2022-09-04,1635.9,1548.42,-0.053475151292866285,ETH-4SEP22-1800-C,1800.0,0.02714142840074002,0.7258011203365509,0.0005,0.0,open@16,ETH-4SEP22-1500-P,1500.0,-0.05998172598204121,0.8407733371823713,0.0015,0.0,open@16,0.00175,0.002,0.00025,2.8628250000000004,0.00175
2022-09-09,2022-09-11,1718.75,1760.54,0.02431418181818179,ETH-11SEP22-1900-C,1900.0,0.043398988305284936,0.8520314890504708,0.001,0.0,open@16,ETH-11SEP22-1550-P,1550.0,-0.040243358798461415,0.890288159395638,0.001,0.0,open@16,0.00175,0.002,0.00025,3.0078125,0.00175
2022-09-16,2022-09-18,1451.45,1454.24,0.0019222157153191421,ETH-18SEP22-1600-C,1600.0,0.0711629300628066,0.9615362169143349,0.002,0.0,close@14,ETH-18SEP22-1250-P,1250.0,-0.03064037490617033,1.2078780932768147,0.001,0.0,close@14,0.002625,0.003,0.000375,3.81005625,0.002625
2022-09-23,2022-09-25,1293.15,1332.01,0.030050651509878845,ETH-25SEP22-1450-C,1450.0,0.02382465726818378,0.8433082666708629,0.0005,0.0,close@15,ETH-25SEP22-1100-P,1100.0,-0.03844429461452681,1.3901890153956376,0.0015,0.0,open@16,0.00175,0.002,0.00025,2.2630125000000003,0.00175
2022-09-30,2022-10-02,1350.95,1311.7,-0.02905362892779151,ETH-2OCT22-1450-C,1450.0,0.05489435817588362,0.6459630991050742,0.001,0.0,open@16,ETH-2OCT22-1250-P,1250.0,-0.06467166233232713,0.771027919877048,0.0015,0.0,open@16,0.0021875,0.0025,0.0003125,2.9552031250000006,0.0021875
2022-10-07,2022-10-09,1333.5,1315.8,-0.013273340832395952,ETH-9OCT22-1450-C,1450.0,0.02984161272123509,0.6506101001194047,0.0005,0.0,close@14,ETH-9OCT22-1200-P,1200.0,-0.039647999750495044,0.9053745511532978,0.001,0.0,open@16,0.0013125,0.0015,0.0001875,1.7502187500000002,0.0013125
2022-10-14,2022-10-16,1309.55,1283.65,-0.01977778626245652,ETH-16OCT22-1400-C,1400.0,0.0350487833878782,0.5402374568198756,0.0005,0.0,open@16,ETH-16OCT22-1200-P,1200.0,-0.027790982628933758,0.6836073935908369,0.0005,0.0,open@16,0.000875,0.001,0.000125,1.14585625,0.000875
2022-10-21,2022-10-23,1297.7,1308.85,0.008592124528010947,ETH-23OCT22-1375-C,1375.0,0.038766261725656115,0.48065640440324575,0.0005,0.0,open@16,ETH-23OCT22-1200-P,1200.0,-0.030161729578366936,0.623640010012992,0.0005,0.0,open@16,0.000875,0.001,0.000125,1.1354875,0.000875
2022-10-28,2022-10-30,1537.7,1629.5,0.05969955127788262,ETH-30OCT22-1650-C,1650.0,0.03373844845258778,0.5645930705707076,0.0005,0.0,open@16,ETH-30OCT22-1425-P,1425.0,-0.03079219840152414,0.6093037753283395,0.0005,0.0,open@16,0.000875,0.001,0.000125,1.3454875000000002,0.000875
2022-11-04,2022-11-06,1626.6,1621.36,-0.0032214435017828835,ETH-6NOV22-1800-C,1800.0,0.06943536715424586,0.9904532271271933,0.002,0.0,close@15,ETH-6NOV22-1500-P,1500.0,-0.029396734735868124,0.641893766148341,0.0005,0.0,open@16,0.0021875,0.0025,0.0003125,3.5581875000000003,0.0021875
2022-11-11,2022-11-13,1256.15,1244.1,-0.009592803407236561,ETH-13NOV22-1400-C,1400.0,0.05467368558876273,0.9817517543689549,0.0015,0.0,open@16,ETH-13NOV22-1000-P,1000.0,-0.06234947487935616,2.316160447529973,0.0045,0.0,open@16,0.0055125,0.006,0.0004875,6.924526875000001,0.0055125
