window,train_range,train_weeks,test_range,test_weeks,selected_dc,selected_dp,train_calmar,test_cagr,test_win_rate
1,2022-09-02 ~ 2024-08-23,104,2024-08-30 ~ 2025-02-21,26,0.3,0.3,4.146982644035008,0.20835655081974003,0.8076923076923077
2,2022-09-02 ~ 2025-02-21,130,2025-02-28 ~ 2025-08-22,26,0.3,0.4,3.720763174656496,0.4851645643525788,0.7692307692307693
3,2022-09-02 ~ 2025-08-22,156,2025-08-29 ~ 2026-02-20,26,0.3,0.4,3.9774046949902986,0.2630004570035578,0.8461538461538461
4,2022-09-02 ~ 2026-02-20,182,2026-02-27 ~ 2026-08-21,26,0.3,0.4,3.3621727949919786,0.5309352968696992,0.9615384615384616
