dropped_event,best_c_calmar,best_p_calmar,calmar_value,cagr,max_dd,best_c_sharpe,best_p_sharpe,sharpe_value
None (Full 208 Weeks),0.4,0.55,4.273463960934952,0.47529807340358565,-0.11122079833793652,0.3,0.55,2.5923265907795026
Drop 2026-01-30,0.3,0.55,4.863307400544353,0.5246866155530163,-0.10788678821624309,0.3,0.55,3.0135817238728753
Drop 2024-04-12,0.45,0.55,4.743729945037928,0.5061086828676733,-0.10669002846527487,0.3,0.55,2.9406932429829444
Drop 2025-01-31,0.3,0.6,4.664768454806236,0.5001587499648872,-0.10722048796431904,0.3,0.55,2.8891276927733256
Drop 2025-06-20,0.4,0.55,4.57423824753033,0.508750429678247,-0.11122079833793652,0.3,0.55,2.836881300281645
Drop 2024-11-08,0.4,0.55,4.447059349700838,0.49460549112991203,-0.11122079833793652,0.15,0.05,2.867437338370643
Drop 2025-10-10,0.4,0.55,4.459967539423363,0.49604115029594875,-0.11122079833793652,0.3,0.55,2.716732288387269
Drop 2023-01-13,0.4,0.55,4.434614746678457,0.4932213924467641,-0.11122079833793652,0.4,0.55,2.680969573634478
