delta,weeks,equity_final,cagr,sharpe_w,max_dd,calmar,win_rate,usd_final,bh_final,max_dd_usd
0.05,208,1.1730585418745008,0.04071046470756934,1.183868060400785,-0.04450764414653641,0.9146847802938012,0.9663461538461539,2.0030377527243166,1.7075343482206273,-0.23275633339112733
0.1,208,1.3111535412940782,0.070072955547265,1.0887032921971433,-0.07307259596686777,0.9589498582893805,0.9519230769230769,2.238839707550753,1.7075343482206273,-0.23192642713108058
0.15,208,1.6983104672267546,0.14157453271302067,1.8463301636223435,-0.07317003898193608,1.934870264972416,0.9182692307692307,2.899923456732309,1.7075343482206273,-0.22058209603026946
0.2,208,1.8693309883683689,0.16928815796476582,1.7226242526616122,-0.09125235573761725,1.855164796528969,0.8509615384615384,3.191946870832202,1.7075343482206273,-0.2054747834869075
0.25,208,2.181310528355302,0.21528845968581334,1.8557915565816043,-0.1052131208008873,2.0462130392771103,0.8413461538461539,3.7246626513019594,1.7075343482206273,-0.225802893883696
0.3,208,2.784283622161194,0.291749696541755,2.3030902544328735,-0.09500305546591192,3.0709506669123687,0.8173076923076923,4.754259920028385,1.7075343482206273,-0.22961235493859244
0.35,208,3.0279605730068084,0.3191298684542856,2.1931513864571444,-0.10935645434824703,2.9182536170934403,0.7884615384615384,5.170346683466938,1.7075343482206273,-0.22382906685432857
0.4,208,3.486825640714413,0.36649346071068445,2.316994452155871,-0.11170380123220536,3.280939920288233,0.7884615384615384,5.9538745477762625,1.7075343482206273,-0.22661093285595624
0.45,208,3.5639219911535203,0.3739851767374054,2.2274044681700387,-0.11924452434909283,3.1362880499447483,0.7740384615384616,6.085519214273475,1.7075343482206273,-0.24018948886541924
0.5,208,3.6920565720600163,0.3861718872455193,2.179515674271654,-0.1269066516624462,3.0429601773174357,0.7548076923076923,6.304313412366177,1.7075343482206273,-0.23582955656372173
0.55,208,3.9696583161124295,0.41152404852288105,2.309793337670286,-0.12015971816913729,3.4248087028934124,0.7644230769230769,6.7783279254616176,1.7075343482206273,-0.222900207263392
0.6,208,4.101890001487279,0.42313468159589673,2.491535056567468,-0.12332355531813022,3.4310937639152725,0.7932692307692307,7.004118070162292,1.7075343482206273,-0.23107807482179832
