config,call_delta,put_delta,net_option_delta,total_portfolio_delta,overlay_cagr,overlay_sharpe,overlay_max_dd,overlay_calmar,beta_to_spot,alpha_ann,spot_plus_overlay_cagr,spot_plus_overlay_max_dd,roe_30pct_margin_cagr
Symmetric 25Δ,0.25,0.25,0.0,1.0,0.21528845968581334,1.8557915565816043,-0.1052131208008873,2.0462130392771103,0.19190082878443177,0.17193470629535515,0.3892222679328321,-0.225802893883696,0.8117698392854489
Symmetric 30Δ,0.3,0.3,0.0,1.0,0.291749696541755,2.3030902544328735,-0.09500305546591192,3.0709506669123687,0.19066885315898158,0.23404337023652383,0.4766267454684969,-0.22961235493859244,1.205809018358127
Symmetric 35Δ,0.35,0.35,0.0,1.0,0.3191298684542856,2.1931513864571444,-0.10935645434824703,2.9182536170934403,0.19243553353608514,0.2569006071941971,0.5079256064241502,-0.22382906685432857,1.3219001975788949
Asymmetric 25C/60P,0.25,0.6,0.35,1.35,0.42696629936617403,2.33610335642531,-0.13069021637279266,3.2670104252353256,0.5464002360737892,0.2856789282269578,0.6311957402950223,-0.28678609853503567,1.90248487901862
Asymmetric 40C/55P,0.4,0.55,0.15,1.15,0.47529807340358565,2.5794045396823067,-0.11122079833793652,4.273463960934952,0.33751009313127517,0.35093749580963507,0.6864448263916914,-0.251777236026953,2.2520924556290143
