peak_friday,trough_friday,recovered_friday,depth,weeks_to_trough
2025-10-03,2025-10-10,2025-11-07,-0.059915759954858094,1
2023-01-06,2023-01-20,2023-02-10,-0.05941491042958058,2
2025-01-24,2025-02-21,2025-03-28,-0.05849411285855932,4
2024-04-05,2024-04-12,2024-05-03,-0.056972573358117784,1
2026-01-16,2026-01-30,2026-02-20,-0.05547303654706848,2
