friday,sunday,entry_spot,settle,spot_ret,C_name,C_strike,C_delta,C_iv,C_premium,C_payoff,C_src,P_name,P_strike,P_delta,P_iv,P_premium,P_payoff,P_src,pnl,premium_sum,fees,pnl_usd,pnl_pct
2022-09-02,2022-09-04,20360.0,19703.96,-0.0322220039292731,BTC-4SEP22-21000-C,21000.0,0.15847475814402734,0.45081864818850537,0.0025,0.0,open@16,BTC-4SEP22-19500-P,19500.0,-0.12767463817578395,0.5711880982151549,0.0025,0.0,open@16,0.0044,0.005,0.0006,89.584,0.0044
2022-09-09,2022-09-11,21269.5,21597.43,0.015417851853593234,BTC-11SEP22-23000-C,23000.0,0.031334216231819256,0.6149619672977871,0.0005,0.0,close@15,BTC-11SEP22-20000-P,20000.0,-0.09036282759107928,0.6925084849083318,0.002,0.0,open@16,0.0021875,0.0025,0.0003125,46.52703125000001,0.0021875
2022-09-16,2022-09-18,19654.5,20065.57,0.020914803225724476,BTC-18SEP22-20500-C,20500.0,0.09934916355077694,0.4789255922315576,0.0015,0.0,open@16,BTC-18SEP22-18500-P,18500.0,-0.10437899710886245,0.7268940108486468,0.0025,0.0,open@16,0.0035125,0.004,0.0004875,69.03643125,0.0035125
2022-09-23,2022-09-25,18710.5,19085.73,0.020054514844605853,BTC-25SEP22-20000-C,20000.0,0.074878908447509,0.6740820392557048,0.0015,0.0,open@16,BTC-25SEP22-17000-P,17000.0,-0.055967055778428865,0.9101626930719915,0.0015,0.0,open@16,0.002625,0.003,0.000375,49.1150625,0.002625
2022-09-30,2022-10-02,19752.0,19288.09,-0.02348673552045366,BTC-2OCT22-21000-C,21000.0,0.07895164101888169,0.6324807676518001,0.0015,0.0,open@16,BTC-2OCT22-18500-P,18500.0,-0.08685794150536763,0.7254368654939758,0.002,0.0,open@16,0.0030625,0.0035,0.0004375,60.490500000000004,0.0030625
2022-10-07,2022-10-09,19568.0,19417.45,-0.007693683565004106,BTC-9OCT22-20500-C,20500.0,0.09355835351843889,0.5151802167845203,0.0015,0.0,open@16,BTC-9OCT22-18500-P,18500.0,-0.10930475560598762,0.6881383261440424,0.0025,0.0,open@16,0.0035125,0.004,0.0004875,68.7326,0.0035125
2022-10-14,2022-10-16,19354.0,19138.4,-0.01113981605869585,BTC-16OCT22-20000-C,20000.0,0.1358457197691859,0.43619758544485676,0.002,0.0,open@16,BTC-16OCT22-18500-P,18500.0,-0.0921820625963482,0.5097170356866949,0.0015,0.0,close@15,0.0030625,0.0035,0.0004375,59.271625,0.0030625
2022-10-21,2022-10-23,19172.0,19160.27,-0.000611829751721249,BTC-23OCT22-19750-C,19750.0,0.09552756737641244,0.33332056640236996,0.001,0.0,open@16,BTC-23OCT22-18500-P,18500.0,-0.10654626716284299,0.4290702135026927,0.0015,0.0,open@16,0.0021875,0.0025,0.0003125,41.938750000000006,0.0021875
2022-10-28,2022-10-30,20490.5,20854.31,0.017755057221639392,BTC-30OCT22-21500-C,21500.0,0.070671857668338,0.4786156869062411,0.001,0.0,open@16,BTC-30OCT22-19750-P,19750.0,-0.08159426688230309,0.39440010393815295,0.001,0.0,open@16,0.00175,0.002,0.00025,35.858375,0.00175
2022-11-04,2022-11-06,20841.0,21196.03,0.01703517105705088,BTC-6NOV22-22000-C,22000.0,0.06547917184161145,0.5241389487242647,0.001,0.0,open@16,BTC-6NOV22-20000-P,20000.0,-0.11562275108603659,0.5167041223958497,0.002,0.0,open@16,0.002625,0.003,0.000375,54.707625,0.002625
2022-11-11,2022-11-13,16812.5,16706.66,-0.006295315985130112,BTC-13NOV22-18000-C,18000.0,0.08879087065490421,0.7355628161399095,0.002,0.0,open@16,BTC-13NOV22-14500-P,14500.0,-0.09961325233598628,1.79012411505177,0.006,0.0,close@15,0.00745,0.008,0.0005499999999999999,125.253125,0.00745
2022-11-18,2022-11-20,16668.5,16692.87,0.0014620391756905438,BTC-20NOV22-17250-C,17250.0,0.13262966399543552,0.44939200595985185,0.002,0.0,open@16,BTC-20NOV22-15750-P,15750.0,-0.10865429236858293,0.6930447635619723,0.0025,0.0,close@15,0.00395,0.0045000000000000005,0.0005499999999999999,65.840575,0.00395
2022-11-25,2022-11-27,16492.5,16558.33,0.003991511293012007,BTC-27NOV22-17500-C,17500.0,0.061690372132339966,0.5625842339024885,0.001,0.0,open@16,BTC-27NOV22-15500-P,15500.0,-0.0898781361011528,0.6969018808208942,0.002,0.0,open@16,0.002625,0.003,0.000375,43.292812500000004,0.002625
2022-12-02,2022-12-04,16930.0,17000.98,0.004192557590076751,BTC-4DEC22-17500-C,17500.0,0.1144770820821287,0.40277112416156935,0.0015,0.0,open@16,BTC-4DEC22-16250-P,16250.0,-0.07610378131313877,0.42803462767604117,0.001,0.0,open@16,0.0021875,0.0025,0.0003125,37.034375000000004,0.0021875
2022-12-09,2022-12-11,17175.0,17179.24,0.0002468704512372799,BTC-11DEC22-17750-C,17750.0,0.05701730237625913,0.3063680699531781,0.0005,0.0,close@15,BTC-11DEC22-16500-P,16500.0,-0.04881279811062378,0.36085253565276587,0.0005,0.0,open@16,0.000875,0.001,0.000125,15.028125000000001,0.000875
2022-12-16,2022-12-18,16959.0,16752.87,-0.012154608172651793,BTC-18DEC22-17500-C,17500.0,0.09234227060858985,0.3472648320237379,0.001,0.0,close@15,BTC-18DEC22-16250-P,16250.0,-0.09541747122157185,0.48931318632764553,0.0015,0.0,open@16,0.0021875,0.0025,0.0003125,37.0978125,0.0021875
2022-12-23,2022-12-25,16831.5,16825.45,-0.0003594450880788358,BTC-25DEC22-17250-C,17250.0,0.10705829412750228,0.29026879697005703,0.001,0.0,open@16,BTC-25DEC22-16250-P,16250.0,-0.08402249999374822,0.3810000791134823,0.001,0.0,close@15,0.00175,0.002,0.00025,29.455125,0.00175
2022-12-30,2023-01-01,16543.0,16511.83,-0.0018841806202017919,BTC-1JAN23-17000-C,17000.0,0.06463767052132569,0.2642826033950476,0.0005,0.0,open@16,BTC-1JAN23-16000-P,16000.0,-0.08685143789879401,0.36638478789175644,0.001,0.0,close@15,0.0013125,0.0015,0.0001875,21.7126875,0.0013125
2023-01-06,2023-01-08,16837.0,16949.73,0.0066953732850270065,BTC-8JAN23-17250-C,17250.0,0.06978024888814538,0.24139975984395867,0.0005,0.0,close@14,BTC-8JAN23-16250-P,16250.0,-0.08352787088618452,0.38366297841102703,0.001,0.0,open@16,0.0013125,0.0015,0.0001875,22.0985625,0.0013125
2023-01-13,2023-01-15,19277.5,20725.72,0.07512488652574256,BTC-15JAN23-20500-C,20500.0,0.06023810594277401,0.5787038896672985,0.001,0.01089081585585452,open@16,BTC-15JAN23-18500-P,18500.0,-0.13118268756783114,0.5527683509332013,0.0025,0.0,open@16,-0.00796581585585452,0.0035,0.000575,-153.5610151612355,-0.00796581585585452
2023-01-20,2023-01-22,21149.5,22907.63,0.08312867916499211,BTC-22JAN23-22000-C,22000.0,0.10334174762884085,0.4564796500178322,0.0015,0.03962129648505764,open@16,BTC-22JAN23-20500-P,20500.0,-0.09063398438900283,0.3483459117744132,0.001,0.0,open@16,-0.037583796485057636,0.0025,0.0004625,-794.8785037607265,-0.037583796485057636
2023-01-27,2023-01-29,22937.0,23201.36,0.011525482844312762,BTC-29JAN23-24500-C,24500.0,0.05753318610988789,0.6110690145085476,0.001,0.0,open@16,BTC-29JAN23-22000-P,22000.0,-0.07525098563295274,0.433723662498095,0.001,0.0,open@16,0.00175,0.002,0.00025,40.13975,0.00175
2023-02-03,2023-02-05,23617.0,23386.49,-0.009760342126434285,BTC-5FEB23-25000-C,25000.0,0.06337054300250244,0.5449249092166466,0.001,0.0,open@16,BTC-5FEB23-22750-P,22750.0,-0.10354085380453615,0.44399220712476706,0.0015,0.0,open@16,0.0021875,0.0025,0.0003125,51.6621875,0.0021875
