friday,sunday,entry_spot,settle,spot_ret,C_name,C_strike,C_delta,C_iv,C_premium,C_payoff,C_src,P_name,P_strike,P_delta,P_iv,P_premium,P_payoff,P_src,pnl,premium_sum,fees,pnl_usd,pnl_pct
2022-09-02,2022-09-04,1635.9,1548.42,-0.053475151292866285,ETH-4SEP22-1650-C,1650.0,0.43752268048522797,0.7018173417611007,0.015,0.0,close@15,ETH-4SEP22-1650-P,1650.0,-0.5568799097589934,0.7536211315435435,0.025,0.06560235594993602,close@15,-0.02635235594993602,0.04,0.00075,-43.10981909850034,-0.02635235594993602
2022-09-09,2022-09-11,1718.75,1760.54,0.02431418181818179,ETH-11SEP22-1750-C,1750.0,0.3432470855222441,0.6276701520341521,0.0095,0.005986799504697402,open@16,ETH-11SEP22-1700-P,1700.0,-0.3977430449921945,0.6879748600255824,0.0135,0.0,close@15,0.016263200495302596,0.023,0.00075,27.952375851301337,0.016263200495302596
2022-09-16,2022-09-18,1451.45,1454.24,0.0019222157153191421,ETH-18SEP22-1450-C,1450.0,0.5182261865423178,0.8164796391940736,0.0225,0.0029156122785785076,open@16,ETH-18SEP22-1450-P,1450.0,-0.4816845237551227,0.835009372002105,0.022,0.0,open@16,0.040834387721421485,0.0445,0.00075,59.269072058257215,0.040834387721421485
2022-09-23,2022-09-25,1293.15,1332.01,0.030050651509878845,ETH-25SEP22-1300-C,1300.0,0.4855108387895227,1.0758005841006812,0.0265,0.024031351115982605,close@15,ETH-25SEP22-1300-P,1300.0,-0.5207562405933013,0.9348092324925428,0.028,0.0,open@16,0.029718648884017394,0.0545,0.00075,38.4306708043671,0.029718648884017394
2022-09-30,2022-10-02,1350.95,1311.7,-0.02905362892779151,ETH-2OCT22-1350-C,1350.0,0.51496151839852,0.5620603951442182,0.0155,0.0,open@16,ETH-2OCT22-1350-P,1350.0,-0.4843253105830452,0.7552126341920546,0.02,0.029198749714111422,open@16,0.005551250285888577,0.035500000000000004,0.00075,7.499461573721174,0.005551250285888577
2022-10-07,2022-10-09,1333.5,1315.8,-0.013273340832395952,ETH-9OCT22-1350-C,1350.0,0.3412954804492667,0.4297708991567458,0.0065,0.0,open@16,ETH-9OCT22-1300-P,1300.0,-0.2954618036341188,0.7344065355429272,0.0095,0.0,open@16,0.0154,0.016,0.0006,20.5359,0.0154
2022-10-14,2022-10-16,1309.55,1283.65,-0.01977778626245652,ETH-16OCT22-1325-C,1325.0,0.38093722516439443,0.5402609282763882,0.0095,0.0,open@16,ETH-16OCT22-1300-P,1300.0,-0.41738449495495267,0.5723373111376471,0.012,0.01273711681533121,open@16,0.008012883184668789,0.0215,0.00075,10.493271174483013,0.008012883184668789
2022-10-21,2022-10-23,1297.7,1308.85,0.008592124528010947,ETH-23OCT22-1300-C,1300.0,0.4794701248672373,0.40262226318390626,0.01,0.0067616610001145355,open@16,ETH-23OCT22-1300-P,1300.0,-0.5229055757259096,0.3739290775912608,0.011,0.0,open@16,0.013488338999885465,0.020999999999999998,0.00075,17.50381752015137,0.013488338999885465
2022-10-28,2022-10-30,1537.7,1629.5,0.05969955127788262,ETH-30OCT22-1550-C,1550.0,0.42978007933046086,0.598064226609992,0.0125,0.04878797177048174,open@16,ETH-30OCT22-1525-P,1525.0,-0.40162672856058945,0.5308348118068349,0.0105,0.0,open@16,-0.026537971770481734,0.023,0.00075,-40.80743919146976,-0.026537971770481734
2022-11-04,2022-11-06,1626.6,1621.36,-0.0032214435017828835,ETH-6NOV22-1625-C,1625.0,0.5188909817816407,0.9467335003759747,0.026,0.0,close@15,ETH-6NOV22-1625-P,1625.0,-0.4820631008938663,0.5562331275172776,0.0145,0.002245028864656893,close@15,0.0375049711353431,0.0405,0.00075,61.00558604874909,0.0375049711353431
2022-11-11,2022-11-13,1256.15,1244.1,-0.009592803407236561,ETH-13NOV22-1275-C,1275.0,0.42851662298586674,1.0260750606614057,0.021,0.0,open@16,ETH-13NOV22-1250-P,1250.0,-0.46049153619521344,1.5402580470878533,0.039,0.004742384052728954,open@16,0.05450761594727105,0.06,0.00075,68.46974177216454,0.05450761594727105
2022-11-18,2022-11-20,1209.95,1218.95,0.00743832389768162,ETH-20NOV22-1225-C,1225.0,0.3716909711251631,0.5298263458419543,0.009,0.0,open@16,ETH-20NOV22-1200-P,1200.0,-0.41217001350481297,0.6065284328216753,0.0125,0.0,open@16,0.020900000000000002,0.0215,0.0006,25.287955000000004,0.020900000000000002
2022-11-25,2022-11-27,1188.85,1217.66,0.024233502965050446,ETH-27NOV22-1200-C,1200.0,0.3944031718365622,0.48595399079472434,0.009,0.014503227501929998,open@16,ETH-27NOV22-1175-P,1175.0,-0.3822339762066589,0.6224806507335277,0.0115,0.0,open@16,0.005246772498070001,0.020499999999999997,0.00075,6.23762548433052,0.005246772498070001
