config,call_delta,put_delta,net_option_delta,total_portfolio_delta,overlay_cagr,overlay_sharpe,overlay_max_dd,overlay_calmar,beta_to_spot,alpha_ann,spot_plus_overlay_cagr,spot_plus_overlay_max_dd,roe_30pct_margin_cagr
Symmetric 25Δ,0.25,0.25,0.0,1.0,0.242330358895807,3.293557163602984,-0.08238918497043557,2.9412884589496127,0.0704580074197969,0.211620321106985,0.381085959813271,-0.108957868088422,1.0164579816096975
Symmetric 30Δ,0.3,0.3,0.0,1.0,0.298372438072702,3.476729697406576,-0.09521885614968884,3.1335436082496675,0.056749021743569904,0.25819679681291785,0.4433873663238108,-0.108957868088422,1.3197218548051057
Symmetric 35Δ,0.35,0.35,0.0,1.0,0.3325951762564219,3.4343684636286946,-0.1022957562091088,3.251309620083793,0.04779744763077442,0.2860867418988539,0.48143243450833983,-0.1115134406383469,1.5130275836820903
Asymmetric 25C/60P,0.25,0.6,0.35,1.35,0.4331845486254926,3.4180822173810292,-0.059915759954858094,7.229893252657794,0.4669571982808933,0.3134149724488175,0.5932566114598132,-0.13970299809074338,2.1400748724268057
Asymmetric 40C/55P,0.4,0.55,0.15,1.15,0.46034949553985216,3.807013484900546,-0.08479629355772766,5.428886997595658,0.24835234367104211,0.3567372502306214,0.6234556052410167,-0.11941999668128811,2.3567236732118197
