delta_call,delta_put,weeks,equity_final,cagr,sharpe_w,max_dd,calmar,win_rate,usd_final,bh_final,max_dd_usd
0.05,0.05,208,1.1730585418745008,0.04071046470756934,1.183868060400785,-0.04450764414653641,0.9146847802938012,0.9663461538461539,2.0030377527243166,1.7075343482206273,-0.23275633339112733
0.05,0.1,208,1.1797336582888085,0.04218781824197948,0.7021593335891658,-0.07342259596686773,0.5745890306169087,0.9615384615384616,2.014435743280118,1.7075343482206273,-0.2493189442010486
0.05,0.15,208,1.3243308459291847,0.07275148317804914,1.0727411494514527,-0.07342259596686773,0.9908595878423934,0.9375,2.261340407832166,1.7075343482206273,-0.24862792034174053
0.05,0.2,208,1.4732132997574605,0.101707758169574,1.1855656007651976,-0.09193456896623042,1.1063059229323573,0.9182692307692307,2.5155623115913204,1.7075343482206273,-0.228999634661066
0.05,0.25,208,1.5729334274139226,0.11989572162720918,1.2155972275761817,-0.09305888393324746,1.2883855528851194,0.9086538461538461,2.6858378547736765,1.7075343482206273,-0.25226300819027647
0.05,0.3,208,1.8227940088269203,0.16194186075156325,1.519604701693924,-0.10098344816715488,1.6036475649306978,0.8846153846153846,3.112483379802746,1.7075343482206273,-0.25788620405461704
0.05,0.35,208,2.053047199784201,0.19701538816512176,1.5911997610204383,-0.10752154196559338,1.8323341031341067,0.8557692307692307,3.505648612149702,1.7075343482206273,-0.24999266035873724
0.05,0.4,208,2.299230040623796,0.23138995426830755,1.7319787934786297,-0.11039009834143676,2.096111496817568,0.8365384615384616,3.926014268825848,1.7075343482206273,-0.26161796846846175
0.05,0.45,208,2.399357443501362,0.24458263702418792,1.6475830367638455,-0.12482389834132634,1.9594215552809104,0.8076923076923077,4.096985248437413,1.7075343482206273,-0.28097450323066697
0.05,0.5,208,2.742404643215123,0.28686468810001053,1.786370412348878,-0.12909727548939032,2.2220816590632553,0.7980769230769231,4.682750125009553,1.7075343482206273,-0.2844854162011491
0.05,0.55,208,3.107474709402771,0.3277059474865116,1.934345161393062,-0.1355121907082497,2.4182765091005316,0.7740384615384616,5.306119802532137,1.7075343482206273,-0.2907422246402839
0.05,0.6,208,2.979743969000137,0.313846829422022,1.817799894006497,-0.1512712168411574,2.0747293237653888,0.7548076923076923,5.0880151759709875,1.7075343482206273,-0.3036715125917462
0.1,0.05,208,1.303718340311083,0.06855269447606949,1.7359167245870426,-0.047484695418243295,1.4436797766577232,0.9615384615384616,2.22614384648636,1.7075343482206273,-0.21499533820884897
0.1,0.1,208,1.3111535412940782,0.070072955547265,1.0887032921971433,-0.07307259596686777,0.9589498582893805,0.9519230769230769,2.238839707550753,1.7075343482206273,-0.23192642713108058
0.1,0.15,208,1.4718795726186495,0.10145832439012503,1.422148909829794,-0.07524301191215965,1.3484086005032563,0.9278846153846154,2.5132849266906403,1.7075343482206273,-0.23121696148723292
0.1,0.2,208,1.6372879702303222,0.13117882743555764,1.4705472519027132,-0.09158456896623057,1.432324559871286,0.9086538461538461,2.7957254470967103,1.7075343482206273,-0.21416651785316487
0.1,0.25,208,1.7481851506042612,0.1498650046864869,1.4700170978354563,-0.09165262379564154,1.635141455640614,0.8990384615384616,2.9850861917060256,1.7075343482206273,-0.24024768743810954
0.1,0.3,208,2.025865250913158,0.19303350027927046,1.76124592357576,-0.098828055465912,1.9532257249142377,0.875,3.4592345008008194,1.7075343482206273,-0.2498673694162219
0.1,0.35,208,2.2817869025682045,0.22904779147661336,1.8051077633519512,-0.10717154196559342,2.137207203290472,0.8461538461538461,3.8962295114551657,1.7075343482206273,-0.24644907596362586
0.1,0.4,208,2.5552423027862985,0.26432295248953275,1.9328776540289272,-0.10787476292999054,2.4502760915551236,0.8365384615384616,4.363164000033969,1.7075343482206273,-0.25811729236607517
