delta,weeks,equity_final,cagr,sharpe_w,max_dd,calmar,win_rate,usd_final,bh_final,max_dd_usd
0.05,208,1.223052861463625,0.05162598090331039,4.398143496020766,-0.02576829870317021,2.0034687387785897,0.9759615384615384,1.8680120613439681,1.5273355062581035,-0.1020968127113332
0.1,208,1.3991797307465321,0.08759793986908693,2.6026639402478824,-0.045250226738948296,1.935856374255217,0.9615384615384616,2.137016882405827,1.5273355062581035,-0.10885846222340056
0.15,208,1.6724147009191928,0.1371977561916562,2.739259771535433,-0.07606230808192083,1.8037548379927033,0.9375,2.5543383539019144,1.5273355062581035,-0.1006866547893065
0.2,208,1.9970131961703348,0.18876287509381617,3.11460467591468,-0.07367914480902849,2.561958008376416,0.9134615384615384,3.0501091609769326,1.5273355062581035,-0.104713401427046
0.25,208,2.3820363958870607,0.242330358895807,3.293557163602984,-0.08238918497043557,2.9412884589496127,0.8605769230769231,3.638168764637398,1.5273355062581035,-0.108957868088422
0.3,208,2.841823823803307,0.298372438072702,3.476729697406576,-0.09521885614968884,3.1335436082496675,0.8413461538461539,4.340418428624964,1.5273355062581035,-0.108957868088422
0.35,208,3.153500814369825,0.3325951762564219,3.4343684636286946,-0.1022957562091088,3.251309620083793,0.8125,4.816453762800881,1.5273355062581035,-0.1115134406383469
0.4,208,3.5934274942031537,0.37682017616478514,3.5702675316325396,-0.09618323082624503,3.9177325707171415,0.8076923076923077,5.488369401060576,1.5273355062581035,-0.11500081683596897
0.45,208,3.671122336904878,0.3842027709922602,3.3981363915827756,-0.10376493189364722,3.702626349584509,0.7884615384615384,5.607035492972048,1.5273355062581035,-0.1117395040690291
0.5,208,3.7378829139041434,0.39045335179560836,3.4011746011087163,-0.10042926512380768,3.8878443580590116,0.8173076923076923,5.709001292641295,1.5273355062581035,-0.11615868391434825
0.55,208,4.061517971431899,0.4196199530315161,3.7740584590974624,-0.09088061577597972,4.617265733166655,0.7932692307692307,6.203300607073317,1.5273355062581035,-0.1166245857381969
0.6,208,4.782748320811633,0.4788338469647957,4.137776938993905,-0.09088061577597972,5.268822651302439,0.8028846153846154,7.304861327871922,1.5273355062581035,-0.1166245857381969
