dropped_event,best_c_calmar,best_p_calmar,calmar_value,cagr,max_dd,best_c_sharpe,best_p_sharpe,sharpe_value
None (Full 208 Weeks),0.25,0.6,7.229893252657794,0.4331845486254926,-0.059915759954858094,0.05,0.05,4.398143496020766
Drop 2023-01-20,0.6,0.6,9.67140021728824,0.5026475572687303,-0.05197257335811789,0.1,0.05,9.735590358529151
Drop 2025-10-10,0.25,0.6,7.7107850549594446,0.45813560338216397,-0.05941491042958058,0.05,0.05,4.491671294673818
Drop 2024-04-12,0.25,0.6,7.6272262882919994,0.45699105941068674,-0.059915759954858094,0.05,0.05,4.704698868982773
Drop 2023-01-13,0.6,0.6,9.102232132017924,0.4962980593665962,-0.05452487391755512,0.05,0.05,5.1630473901736185
Drop 2025-01-31,0.25,0.6,7.586994519753605,0.45458054242438006,-0.05991575995485798,0.05,0.05,4.490822862806089
Drop 2026-01-30,0.25,0.6,7.564675212609735,0.45324326417519,-0.059915759954858094,0.05,0.05,4.385780563148255
Drop 2024-08-02,0.25,0.6,7.474346071189045,0.4478311250208995,-0.059915759954858094,0.05,0.05,4.374382136277342
