peak_friday,trough_friday,recovered_friday,depth,weeks_to_trough
2024-03-08,2024-04-26,2024-07-05,-0.11122079833793652,7
2026-01-23,2026-01-30,2026-03-06,-0.11069002846527487,1
2025-01-10,2025-01-31,2025-02-28,-0.09995943560026621,3
2025-06-13,2025-06-20,2025-08-29,-0.07852316058622033,1
2023-01-06,2023-01-20,2023-02-03,-0.0545846610475732,2
