friday,sunday,entry_spot,settle,spot_ret,C_name,C_strike,C_delta,C_iv,C_premium,C_payoff,C_src,P_name,P_strike,P_delta,P_iv,P_premium,P_payoff,P_src,pnl,premium_sum,fees,pnl_usd,pnl_pct
2022-09-02,2022-09-04,1635.9,1548.42,-0.053475151292866285,ETH-4SEP22-1700-C,1700.0,0.18151736373661442,0.6114317989416811,0.004,0.0,open@16,ETH-4SEP22-1600-P,1600.0,-0.33679226800941175,0.8355520257373459,0.013,0.03331137546660462,open@16,-0.017061375466604627,0.017,0.00075,-27.91070412581851,-0.017061375466604627
2022-09-09,2022-09-11,1718.75,1760.54,0.02431418181818179,ETH-11SEP22-1800-C,1800.0,0.16568432921477227,0.6872645314144652,0.004,0.0,open@16,ETH-11SEP22-1650-P,1650.0,-0.22502868141925636,0.8306736539206097,0.0075,0.0,open@16,0.0109,0.0115,0.0006,18.734375,0.0109
2022-09-16,2022-09-18,1451.45,1454.24,0.0019222157153191421,ETH-18SEP22-1500-C,1500.0,0.27264936449260113,0.7717695031454959,0.0085,0.0,open@16,ETH-18SEP22-1400-P,1400.0,-0.3020064490565185,1.1100800170899467,0.015,0.0,open@16,0.0229,0.0235,0.0006,33.238205,0.0229
2022-09-23,2022-09-25,1293.15,1332.01,0.030050651509878845,ETH-25SEP22-1350-C,1350.0,0.23280442335970974,0.8399363525657835,0.0075,0.0,open@16,ETH-25SEP22-1250-P,1250.0,-0.2840698089277218,0.9312092389307651,0.0115,0.0,open@16,0.0184,0.019,0.0006,23.793960000000002,0.0184
2022-09-30,2022-10-02,1350.95,1311.7,-0.02905362892779151,ETH-2OCT22-1400-C,1400.0,0.1881923882243951,0.5836380621799537,0.004,0.0,open@16,ETH-2OCT22-1300-P,1300.0,-0.18428834937752003,0.6485364858520619,0.0045,0.0,open@16,0.0079,0.0085,0.0006,10.672505000000001,0.0079
2022-10-07,2022-10-09,1333.5,1315.8,-0.013273340832395952,ETH-9OCT22-1350-C,1350.0,0.3412954804492667,0.4297708991567458,0.0065,0.0,open@16,ETH-9OCT22-1300-P,1300.0,-0.2954618036341188,0.7344065355429272,0.0095,0.0,open@16,0.0154,0.016,0.0006,20.5359,0.0154
2022-10-14,2022-10-16,1309.55,1283.65,-0.01977778626245652,ETH-16OCT22-1350-C,1350.0,0.202777412812447,0.5298574151147835,0.004,0.0,open@16,ETH-16OCT22-1250-P,1250.0,-0.10745868817334614,0.5640235639887914,0.002,0.0,open@16,0.00545,0.006,0.0005499999999999999,7.1370474999999995,0.00545
2022-10-21,2022-10-23,1297.7,1308.85,0.008592124528010947,ETH-23OCT22-1325-C,1325.0,0.2105131501060905,0.3769287207669061,0.003,0.0,open@16,ETH-23OCT22-1275-P,1275.0,-0.2606890416470009,0.41641501414720117,0.0045,0.0,open@16,0.0069,0.0075,0.0006,8.954130000000001,0.0069
2022-10-28,2022-10-30,1537.7,1629.5,0.05969955127788262,ETH-30OCT22-1575-C,1575.0,0.2583082727529292,0.532123765094193,0.0055,0.033445842282908866,open@16,ETH-30OCT22-1500-P,1500.0,-0.26175513067077105,0.594543341532648,0.0065,0.0,open@16,-0.02219584228290887,0.012,0.00075,-34.13054667842897,-0.02219584228290887
2022-11-04,2022-11-06,1626.6,1621.36,-0.0032214435017828835,ETH-6NOV22-1675-C,1675.0,0.2635122401342832,0.662526066696838,0.007,0.0,open@16,ETH-6NOV22-1575-P,1575.0,-0.23521689233432108,0.6827767468006758,0.0065,0.0,open@16,0.0129,0.0135,0.0006,20.98314,0.0129
2022-11-11,2022-11-13,1256.15,1244.1,-0.009592803407236561,ETH-13NOV22-1325-C,1325.0,0.2704846535219284,1.2106809548161084,0.013,0.0,open@16,ETH-13NOV22-1175-P,1175.0,-0.26461692290531913,1.7318536087943328,0.02,0.0,open@16,0.0324,0.033,0.0006,40.69926,0.0324
2022-11-18,2022-11-20,1209.95,1218.95,0.00743832389768162,ETH-20NOV22-1250-C,1250.0,0.20788498566094676,0.578301679809311,0.0045,0.0,open@16,ETH-20NOV22-1175-P,1175.0,-0.2585775674091718,0.6948407099835137,0.0075,0.0,close@15,0.0114,0.012,0.0006,13.79343,0.0114
2022-11-25,2022-11-27,1188.85,1217.66,0.024233502965050446,ETH-27NOV22-1225-C,1225.0,0.21581537631411857,0.5506577172926976,0.0045,0.0,open@16,ETH-27NOV22-1150-P,1150.0,-0.2075764562671758,0.6192921402903173,0.005,0.0,open@16,0.0089,0.0095,0.0006,10.580765,0.0089
2022-12-02,2022-12-04,1279.75,1256.87,-0.01787849189294788,ETH-4DEC22-1300-C,1300.0,0.30072772628473765,0.43270509535220514,0.0055,0.0,open@16,ETH-4DEC22-1250-P,1250.0,-0.24181623849751177,0.5094430504378757,0.005,0.0,open@16,0.009899999999999999,0.010499999999999999,0.0006,12.669524999999998,0.009899999999999999
2022-12-09,2022-12-11,1278.2,1275.91,-0.0017915819120638554,ETH-11DEC22-1300-C,1300.0,0.2600971128480548,0.38154002903217465,0.004,0.0,open@16,ETH-11DEC22-1250-P,1250.0,-0.2256235919773253,0.447216277590025,0.004,0.0,close@15,0.0074,0.008,0.0006,9.458680000000001,0.0074
2022-12-16,2022-12-18,1203.8,1187.07,-0.013897657418175835,ETH-18DEC22-1225-C,1225.0,0.2992138453642438,0.4760042910761302,0.006,0.0,open@16,ETH-18DEC22-1175-P,1175.0,-0.26428393775795955,0.5871161138909649,0.0065,0.0,open@16,0.0119,0.0125,0.0006,14.32522,0.0119
2022-12-23,2022-12-25,1218.85,1218.73,-9.845346022885337e-05,ETH-25DEC22-1250-C,1250.0,0.15643667598510974,0.3655723967282204,0.002,0.0,open@16,ETH-25DEC22-1200-P,1200.0,-0.2617513585380218,0.3687555090018316,0.004,0.0,open@16,0.00545,0.006,0.0005499999999999999,6.642732499999999,0.00545
2022-12-30,2023-01-01,1193.5,1193.85,0.0002932551319647647,ETH-1JAN23-1200-C,1200.0,0.36921695995300496,0.23510943395313078,0.004,0.0,open@16,ETH-1JAN23-1175-P,1175.0,-0.21575133292729953,0.29770197557519673,0.0025,0.0,open@16,0.005900000000000001,0.006500000000000001,0.0006,7.041650000000001,0.005900000000000001
2023-01-06,2023-01-08,1262.95,1263.51,0.00044340631062200764,ETH-8JAN23-1275-C,1275.0,0.3042209951796335,0.2695158420771625,0.0035,0.0,open@16,ETH-8JAN23-1250-P,1250.0,-0.3148407859764354,0.32366837887054023,0.0045,0.0,open@16,0.0074,0.008,0.0006,9.345830000000001,0.0074
2023-01-13,2023-01-15,1422.6,1527.38,0.0736538731899341,ETH-15JAN23-1450-C,1450.0,0.29874036735958176,0.5175304385274939,0.0065,0.05066191779386931,close@15,ETH-15JAN23-1375-P,1375.0,-0.18512308613561002,0.5745310029629951,0.004,0.0,open@16,-0.04091191779386931,0.010499999999999999,0.00075,-58.20129425355847,-0.04091191779386931
2023-01-20,2023-01-22,1564.1,1628.19,0.040975640943673675,ETH-22JAN23-1600-C,1600.0,0.21745546464905718,0.4223773129949352,0.0035,0.017313704174574254,open@16,ETH-22JAN23-1525-P,1525.0,-0.17084724742052493,0.39969905610192924,0.0025,0.0,open@16,-0.012063704174574254,0.006,0.00075,-18.86883969945159,-0.012063704174574254
2023-01-27,2023-01-29,1575.0,1591.81,0.010673015873015945,ETH-29JAN23-1625-C,1625.0,0.20026782651689307,0.5384996954158818,0.004,0.0,open@16,ETH-29JAN23-1550-P,1550.0,-0.3062059903399923,0.48291886260943695,0.0065,0.0,open@16,0.009899999999999999,0.010499999999999999,0.0006,15.5925,0.009899999999999999
2023-02-03,2023-02-05,1664.7,1667.88,0.0019102540998379158,ETH-5FEB23-1700-C,1700.0,0.2892311518428262,0.5410659170028391,0.0065,0.0,open@16,ETH-5FEB23-1625-P,1625.0,-0.2484274742848006,0.5402297667664535,0.0055,0.0,open@16,0.0114,0.012,0.0006,18.97758,0.0114
