friday,entry_spot,settle_spot,kc,kp,terminal_pnl,max_floating_loss,gap_intraday_vs_terminal,min_margin_health,min_equity,max_mm_required,liquidated,liq_time,liq_spot
2022-09-02,20360.0,19703.96,20500.0,20000.0,-0.0012743910361166432,-0.013369044894228504,-0.01209465385811186,7.752324659352526,0.9866309551057715,0.12726904489422852,False,,
2022-09-09,21269.5,21597.43,21500.0,21000.0,0.015238815104389718,-0.0062983921617479855,-0.021537207266137705,7.8741225685714635,0.993701607838252,0.126198392161748,False,,
2022-09-16,19654.5,20065.57,20000.0,19500.0,0.013982213438242738,-0.0037872134630846342,-0.017769426901327372,8.220444699311253,0.9962127865369155,0.12118721346308464,False,,
2022-09-23,18710.5,19085.73,19000.0,18500.0,0.021258162381004052,-0.008251908435531781,-0.02951007081653583,7.392724435530964,0.9917480915644683,0.1341519084355318,False,,
2022-09-30,19752.0,19288.09,20000.0,19500.0,0.0077634274570473364,-0.008079368862529916,-0.015842796319577253,7.811667675016881,0.9919206311374701,0.12697936886252992,False,,
2022-10-07,19568.0,19417.45,20000.0,19500.0,0.010498669366986948,-0.005766899835291455,-0.016265569202278403,8.239484908635442,0.9942331001647086,0.12066689983529147,False,,
2022-10-14,19354.0,19138.4,19500.0,19000.0,0.0134,-0.002218799798508182,-0.015618799798508182,8.62992179420951,0.997781200201492,0.11561879979850818,False,,
2022-10-21,19172.0,19160.27,19250.0,19000.0,0.0124,-0.0011840858667845396,-0.01358408586678454,8.793625502296704,0.9988159141332154,0.11358408586678455,False,,
2022-10-28,20490.5,20854.31,20750.0,20250.0,0.004248156256428466,-0.007613026575834878,-0.011861182832263343,8.480995684536113,0.9923869734241652,0.11701302657583489,False,,
2022-11-04,20841.0,21196.03,21000.0,20500.0,0.004001569987398639,-0.013116231234291236,-0.017117801221689877,7.800451840350282,0.9868837687657088,0.12651623123429123,False,,
2022-11-11,16812.5,16706.66,17250.0,16250.0,0.0269,-0.0028866327847155183,-0.02978663278471552,7.68271235504856,0.9971133672152844,0.12978663278471553,False,,
2022-11-18,16668.5,16692.87,17000.0,16500.0,0.0139,-0.0019636930516088707,-0.015863693051608868,8.613883095404516,0.9980363069483913,0.11586369305160887,False,,
2022-11-25,16492.5,16558.33,16750.0,16250.0,0.0114,-0.0011696626879293447,-0.012569662687929344,8.872997515157106,0.9988303373120708,0.11256966268792935,False,,
2022-12-02,16930.0,17000.98,17000.0,16750.0,0.013835150797189368,-0.0026694362236222395,-0.016504587020811607,8.555678024067458,0.9973305637763779,0.11656943622362224,False,,
2022-12-09,17175.0,17179.24,17250.0,17000.0,0.0089,-0.0008999723469697231,-0.009799972346969723,9.09927394604306,0.9991000276530301,0.10979997234696973,False,,
2022-12-16,16959.0,16752.87,17000.0,16750.0,0.0109,-0.006135315747643552,-0.017035315747643553,8.492006689633486,0.9938646842523564,0.11703531574764356,False,,
