delta_bucket,total_quotes,pct_open_16_ontime,pct_close_15_stale,pct_close_14_12_stale,pct_open_17_18_lookahead
0.05,1909,44.10686223153483,25.301204819277107,25.720272393923523,4.871660555264536
0.1,428,64.7196261682243,22.429906542056074,11.91588785046729,0.9345794392523363
0.15,298,72.48322147651007,17.449664429530202,9.731543624161073,0.33557046979865773
0.2,253,83.00395256916995,11.462450592885375,5.138339920948617,0.3952569169960474
0.25,175,77.14285714285715,13.714285714285715,8.0,1.1428571428571428
0.3,190,77.36842105263158,16.315789473684212,5.7894736842105265,0.5263157894736842
0.35,147,89.1156462585034,7.482993197278912,3.4013605442176873,0.0
0.4,157,90.44585987261146,7.006369426751593,2.547770700636943,0.0
0.45,136,88.97058823529412,8.823529411764707,2.2058823529411766,0.0
0.5,134,85.82089552238806,9.701492537313433,3.731343283582089,0.7462686567164178
0.55,142,78.87323943661971,8.450704225352112,11.971830985915492,0.7042253521126761
0.6,741,43.859649122807014,22.941970310391362,27.530364372469634,5.668016194331984
