delta_bucket,total_quotes,pct_open_16_ontime,pct_close_15_stale,pct_close_14_12_stale,pct_open_17_18_lookahead
0.05,1691,32.76167947959787,23.24068598462448,36.01419278533412,7.983441750443525
0.1,495,47.67676767676768,26.464646464646464,24.242424242424242,1.6161616161616161
0.15,340,54.70588235294118,21.764705882352942,20.88235294117647,2.6470588235294117
0.2,272,62.5,21.323529411764707,15.808823529411764,0.3676470588235294
0.25,201,59.70149253731343,23.88059701492537,15.422885572139302,0.9950248756218906
0.3,185,61.62162162162163,25.405405405405407,11.891891891891893,1.0810810810810811
0.35,184,69.56521739130434,23.369565217391305,7.065217391304348,0.0
0.4,175,70.28571428571428,22.285714285714285,7.428571428571429,0.0
0.45,159,78.61635220125787,14.465408805031446,6.289308176100629,0.628930817610063
0.5,165,84.84848484848484,12.727272727272727,2.4242424242424243,0.0
0.55,153,62.745098039215684,23.52941176470588,11.76470588235294,1.9607843137254901
0.6,666,37.987987987987985,27.027027027027028,27.177177177177175,7.807807807807808
