delta,weeks,total_pnl_base,total_pnl_usd,ret_on_notional,win_rate,sharpe_w,max_dd_base,premium_sum_base,retained,first,last
0.05,208,0.2017112558626569,12877.640548973672,0.0009697656531858505,0.9759615384615384,4.398143496020766,-0.02592282362466347,0.2781,0.7253191508905318,2022-09-02,2026-08-21
0.1,208,0.3382952667494047,18803.115885761035,0.0016264195516798303,0.9615384615384616,2.6026639402478824,-0.045549612340912156,0.562,0.6019488732195812,2022-09-02,2026-08-21
0.15,208,0.5194693163960457,29497.89572618449,0.00249744863651945,0.9375,2.739259771535433,-0.07750012094645468,0.8858000000000001,0.5864408629442827,2022-09-02,2026-08-21
0.2,208,0.699191468747226,39273.16417496847,0.003361497445900125,0.9134615384615384,3.11460467591468,-0.0750001209464547,1.2203,0.572966867776142,2022-09-02,2026-08-21
0.25,208,0.8787856696832326,49365.619172628554,0.004224931104246311,0.8605769230769231,3.293557163602984,-0.08396351530457903,1.5981,0.5498940427277595,2022-09-02,2026-08-21
0.3,208,1.0588061214849742,59322.841602008724,0.005090414045600838,0.8413461538461539,3.476729697406576,-0.09758812955199721,2.032,0.5210660046678023,2022-09-02,2026-08-21
0.35,208,1.1662616827431842,64395.48110573346,0.005607027320880693,0.8125,3.4343684636286946,-0.10500152391012155,2.4747000000000003,0.47127396562944357,2022-09-02,2026-08-21
0.4,208,1.2997291743432369,70115.61079885828,0.006248697953573254,0.8076923076923077,3.5702675316325396,-0.09850152391012154,3.0,0.43324305811441227,2022-09-02,2026-08-21
0.45,208,1.3236362605785554,74434.3150652749,0.006363635868166132,0.7884615384615384,3.3981363915827756,-0.10656383103383063,3.5740000000000003,0.3703514998820804,2022-09-02,2026-08-21
0.5,208,1.3422521058370764,76113.27341993566,0.006453135124216714,0.8173076923076923,3.4011746011087163,-0.10306383103383063,4.2068,0.31906724965224786,2022-09-02,2026-08-21
0.55,208,1.424169559964461,80482.87515609257,0.006846969038290678,0.7932692307692307,3.7740584590974624,-0.09297722539195499,5.0434,0.2823828290368523,2022-09-02,2026-08-21
0.6,208,1.589357781924591,94677.54166148244,0.0076411431823297645,0.8028846153846154,4.137776938993905,-0.09297722539195499,6.1304,0.25925841412054534,2022-09-02,2026-08-21
