peak_friday,trough_friday,recovered_friday,depth,weeks_to_trough
2026-01-23,2026-02-13,2026-05-22,-0.10935645434824703,3
2024-04-05,2024-04-26,2024-07-19,-0.10892713151360289,3
2025-01-10,2025-01-31,2025-02-28,-0.07778185193076148,3
2025-06-13,2025-08-08,2025-09-26,-0.0671469335659397,8
2023-01-06,2023-01-20,2023-02-10,-0.05512304225617326,2
