friday,sunday,entry_spot,settle,spot_ret,C_name,C_strike,C_delta,C_iv,C_premium,C_payoff,C_src,P_name,P_strike,P_delta,P_iv,P_premium,P_payoff,P_src,pnl,premium_sum,fees,pnl_usd,pnl_pct
2022-09-02,2022-09-04,20360.0,19703.96,-0.0322220039292731,BTC-4SEP22-20500-C,20500.0,0.4028635392517888,0.39130068438270815,0.0075,0.0,open@16,BTC-4SEP22-20500-P,20500.0,-0.5788247174533754,0.4720365415950458,0.0165,0.04040000081201956,open@16,-0.01715000081201956,0.024,0.00075,-349.17401653271827,-0.01715000081201956
2022-09-09,2022-09-11,21269.5,21597.43,0.015417851853593234,BTC-11SEP22-21500-C,21500.0,0.38307558757116084,0.5071162919316881,0.009,0.004511184895610278,open@16,BTC-11SEP22-21500-P,21500.0,-0.6065381414028288,0.5520232572170451,0.021,0.0,close@15,0.02473881510438972,0.03,0.00075,526.1822278628172,0.02473881510438972
2022-09-16,2022-09-18,19654.5,20065.57,0.020914803225724476,BTC-18SEP22-19500-C,19500.0,0.5941915205086231,0.5297975978545579,0.0185,0.028186091897713334,open@16,BTC-18SEP22-19500-P,19500.0,-0.4127601089192272,0.5816186998782924,0.012,0.0,open@16,0.0015639081022866645,0.0305,0.00075,30.737831796393248,0.0015639081022866645
2022-09-23,2022-09-25,18710.5,19085.73,0.020054514844605853,BTC-25SEP22-18500-C,18500.0,0.6107527820673783,0.645266813931612,0.0235,0.03068942083954869,open@16,BTC-25SEP22-18500-P,18500.0,-0.3999289775381111,0.7317698069350804,0.0145,0.0,open@16,0.0065605791604513115,0.038,0.00075,122.75171638162426,0.0065605791604513115
2022-09-30,2022-10-02,19752.0,19288.09,-0.02348673552045366,BTC-2OCT22-20000-C,20000.0,0.37581255342736547,0.5510077468126657,0.0095,0.0,open@16,BTC-2OCT22-19500-P,19500.0,-0.36435588368990957,0.580707935973285,0.01,0.010986572542952664,open@16,0.0077634274570473364,0.0195,0.00075,153.343219131599,0.0077634274570473364
2022-10-07,2022-10-09,19568.0,19417.45,-0.007693683565004106,BTC-9OCT22-19500-C,19500.0,0.5513528663815941,0.4527548402218945,0.014,0.0,open@16,BTC-9OCT22-19500-P,19500.0,-0.4501096823924873,0.47052026403686087,0.011,0.004251330633013051,open@16,0.019998669366986948,0.025,0.00075,391.3339621732006,0.019998669366986948
2022-10-14,2022-10-16,19354.0,19138.4,-0.01113981605869585,BTC-16OCT22-19500-C,19500.0,0.40116540339778284,0.4204221794675458,0.008,0.0,open@16,BTC-16OCT22-19500-P,19500.0,-0.5901634232318544,0.4569245776967584,0.0165,0.018893951427496475,close@15,0.004856048572503526,0.0245,0.00075,93.98396407223325,0.004856048572503526
2022-10-21,2022-10-23,19172.0,19160.27,-0.000611829751721249,BTC-23OCT22-19250-C,19250.0,0.436040264944192,0.3477819090531905,0.0075,0.0,open@16,BTC-23OCT22-19250-P,19250.0,-0.5645007850925655,0.3452099959591347,0.0115,0.004683128160511285,open@16,0.013566871839488716,0.019,0.00075,260.10406690667764,0.013566871839488716
2022-10-28,2022-10-30,20490.5,20854.31,0.017755057221639392,BTC-30OCT22-20500-C,20500.0,0.49957383211684614,0.4350490124143973,0.0115,0.01698977333702248,open@16,BTC-30OCT22-20500-P,20500.0,-0.5033306971862441,0.34366024432045095,0.0095,0.0,open@16,0.0032602266629775207,0.020999999999999998,0.00075,66.8036744377409,0.0032602266629775207
2022-11-04,2022-11-06,20841.0,21196.03,0.01703517105705088,BTC-6NOV22-20750-C,20750.0,0.5730261265962987,0.3780135168171761,0.0125,0.021043091560070393,open@16,BTC-6NOV22-20750-P,20750.0,-0.44220012408539666,0.5045597997364379,0.0115,0.0,open@16,0.002206908439929607,0.024,0.00075,45.99417879657294,0.002206908439929607
2022-11-11,2022-11-13,16812.5,16706.66,-0.006295315985130112,BTC-13NOV22-16750-C,16750.0,0.5431145362395225,0.6346918922752183,0.019,0.0,open@16,BTC-13NOV22-16750-P,16750.0,-0.46552845435328216,1.3691904784350202,0.035,0.0025941750176277094,open@16,0.0506558249823723,0.054000000000000006,0.00075,851.6510575161342,0.0506558249823723
2022-11-18,2022-11-20,16668.5,16692.87,0.0014620391756905438,BTC-20NOV22-16750-C,16750.0,0.4482822189276518,0.4922529190652465,0.011,0.0,open@16,BTC-20NOV22-16750-P,16750.0,-0.5780337155923836,0.34609408284225884,0.012,0.003422419272419963,open@16,0.018827580727580034,0.023,0.00075,313.8275293576678,0.018827580727580034
