friday,entry_spot,settle_spot,kc,kp,terminal_pnl,max_floating_loss,gap_intraday_vs_terminal,min_margin_health,min_equity,max_mm_required,liquidated,liq_time,liq_spot
2022-09-02,1635.9,1548.42,1650.0,1600.0,-0.006061375466604623,-0.022445796226555653,-0.01638442075995103,6.523734588426195,0.9775542037734444,0.14984579622655564,False,,
2022-09-09,1718.75,1760.54,1750.0,1700.0,0.016263200495302596,-0.009879169139055104,-0.0261423696343577,7.485085046309186,0.9901208308609448,0.1322791691390551,False,,
2022-09-16,1451.45,1454.24,1500.0,1400.0,0.0229,-0.005878875903843769,-0.02877887590384377,7.719597776567358,0.9941211240961563,0.1287788759038438,False,,
2022-09-23,1293.15,1332.01,1350.0,1250.0,0.0184,-0.007074199212399293,-0.025474199212399292,7.913386234143666,0.9929258007876007,0.1254741992123993,False,,
2022-09-30,1350.95,1311.7,1400.0,1350.0,-0.005948749714111422,-0.019041005081364967,-0.013092255367253544,6.88677389181783,0.9809589949186353,0.14244100508136498,False,,
2022-10-07,1333.5,1315.8,1350.0,1300.0,0.0154,-0.004628020038583331,-0.02002802003858333,8.292830121178802,0.9953719799614169,0.12002802003858334,False,,
2022-10-14,1309.55,1283.65,1325.0,1300.0,0.008012883184668787,-0.012163213719707563,-0.02017609690437635,7.423815783986186,0.9878367862802924,0.13306321371970758,False,,
2022-10-21,1297.7,1308.85,1300.0,1275.0,0.006988338999885464,-0.006514779605267673,-0.013503118605153137,8.250525588731563,0.9934852203947323,0.12041477960526767,False,,
2022-10-28,1537.7,1629.5,1550.0,1525.0,-0.02653797177048174,-0.032567457564790125,-0.006029485794308384,6.242810959396022,0.9674325424352098,0.15496745756479013,False,,
2022-11-04,1626.6,1621.36,1650.0,1600.0,0.0189,-0.0046771094697860924,-0.02357710946978609,8.054265832893304,0.9953228905302137,0.1235771094697861,False,,
2022-11-11,1256.15,1244.1,1300.0,1225.0,0.0474,-0.007351986054237085,-0.05475198605423708,6.4144444233359454,0.9926480139457631,0.1547519860542371,False,,
2022-11-18,1209.95,1218.95,1225.0,1200.0,0.0209,-0.0016392970541444334,-0.022539297054144432,8.14726970813882,0.9983607029458555,0.12253929705414443,False,,
