delta_call,delta_put,weeks,equity_final,cagr,sharpe_w,max_dd,calmar,win_rate,usd_final,bh_final,max_dd_usd
0.05,0.05,208,1.223052861463625,0.05162598090331039,4.398143496020766,-0.02576829870317021,2.0034687387785897,0.9759615384615384,1.8680120613439681,1.5273355062581035,-0.1020968127113332
0.05,0.1,208,1.2794526248955278,0.06354544619664626,2.3227126565594807,-0.028096353290072318,2.261697293616381,0.9663461538461539,1.9541534225780692,1.5273355062581035,-0.12538554534712043
0.05,0.15,208,1.403116182182672,0.08836209598929656,2.348543616077975,-0.03652523462302948,2.419206800483726,0.9615384615384616,2.1430291644529125,1.5273355062581035,-0.11990421280830077
0.05,0.2,208,1.5353197836462413,0.11313980109974331,2.432323773324858,-0.04510411595598662,2.5084141148037817,0.9423076923076923,2.3449484190234164,1.5273355062581035,-0.11578138636773516
0.05,0.25,208,1.7009858495130468,0.14202385363750092,2.5592066304072163,-0.047832248033842006,2.9692071661991926,0.9086538461538461,2.597976083603879,1.5273355062581035,-0.11276661549838385
0.05,0.3,208,1.8910887076647016,0.17267583356653438,2.7221371486376986,-0.052557997288943725,3.285434043790307,0.8894230769230769,2.888326928700052,1.5273355062581035,-0.11276661549838385
0.05,0.35,208,2.030617481663856,0.1937325336878759,2.700971307204619,-0.05257485647526727,3.6848894448054894,0.8653846153846154,3.1014341793736255,1.5273355062581035,-0.11780237960304663
0.05,0.4,208,2.2580572319057177,0.22583985245102633,2.8386897805983775,-0.05631746491669265,4.010121066086673,0.8461538461538461,3.4488109854524973,1.5273355062581035,-0.12565277463133007
0.05,0.45,208,2.3504360458602434,0.23818947966645765,2.659904629379006,-0.05753729385802331,4.13974074370276,0.8076923076923077,3.58990442803125,1.5273355062581035,-0.12605380155473278
0.05,0.5,208,2.5727189728552426,0.26647927513462477,2.732507457333373,-0.06106007335811792,4.36421478847104,0.7932692307692307,3.929405034865689,1.5273355062581035,-0.1268505639850389
0.05,0.55,208,2.8501702906853272,0.2993247233113865,2.83540645163647,-0.061060073358117806,4.902135009826219,0.7980769230769231,4.353166283845681,1.5273355062581035,-0.13237296476205107
0.05,0.6,208,3.0117757900648727,0.31736360053654455,2.7597530460948905,-0.0714889943947914,4.439335078402883,0.7644230769230769,4.599992101054638,1.5273355062581035,-0.1515939732099102
0.1,0.05,208,1.3375544359392317,0.07541939962574906,3.3869806897503616,-0.046958863476668555,1.6060737854786686,0.9711538461538461,2.0428943815630194,1.5273355062581035,-0.09222778880960902
0.1,0.1,208,1.3991797307465321,0.08759793986908693,2.6026639402478824,-0.045250226738948296,1.935856374255217,0.9615384615384616,2.137016882405827,1.5273355062581035,-0.10885846222340056
0.1,0.15,208,1.5343590055732024,0.11296561403625294,2.6460235131664898,-0.043935781444957245,2.571152949169148,0.9567307692307693,2.3434809885588317,1.5273355062581035,-0.10572252939585125
0.1,0.2,208,1.678851751966028,0.1382904364325397,2.71174578001334,-0.04492911595598659,3.0779692297531875,0.9423076923076923,2.564169890521335,1.5273355062581035,-0.10544719679960746
0.1,0.25,208,1.859899827750513,0.16781053440856852,2.8140960224833353,-0.04721974803384199,3.5538210472512506,0.9086538461538461,2.840691045006691,1.5273355062581035,-0.11219588576416939
0.1,0.3,208,2.0678070918783753,0.19916102621746212,2.969764295639529,-0.0523829972889438,3.8020166184629143,0.8942307692307693,3.1582351915181586,1.5273355062581035,-0.11219588576416939
